EPA1,1event,1,0.063368
EPA1,1event,2,0.043046
EPA1,1event,3,0.043158
EPA1,1event,4,0.043174
EPA1,100events,1,0.144941
EPA1,100events,2,0.135756
EPA1,100events,3,0.133710
EPA1,100events,4,0.137410
EPA1,1000events,1,0.855170
EPA1,1000events,2,0.853492
EPA1,1000events,3,0.865404
EPA1,1000events,4,0.861780
EPA1,10000events,1,7.136580
EPA1,10000events,2,7.140393
EPA1,10000events,3,7.137556
EPA1,10000events,4,7.129083
EPA2,1event,1,0.037589
EPA2,1event,2,0.035400
EPA2,1event,3,0.036404
EPA2,1event,4,0.037220
EPA2,100events,1,0.109971
EPA2,100events,2,0.108683
EPA2,100events,3,0.112508
EPA2,100events,4,0.109923
EPA2,1000events,1,0.643851
EPA2,1000events,2,0.645205
EPA2,1000events,3,0.647580
EPA2,1000events,4,0.639649
EPA2,10000events,1,5.876077
EPA2,10000events,2,5.863507
EPA2,10000events,3,5.899383
EPA2,10000events,4,5.855298
EPA3_local,1event,1,0.043747
EPA3_local,1event,2,0.044113
EPA3_local,1event,3,0.044266
EPA3_local,1event,4,0.041937
EPA3_local,100events,1,0.160008
EPA3_local,100events,2,0.147927
EPA3_local,100events,3,0.145650
EPA3_local,100events,4,0.152434
EPA3_local,1000events,1,1.007466
EPA3_local,1000events,2,1.040110
EPA3_local,1000events,3,1.033288
EPA3_local,1000events,4,0.999312
EPA3_local,10000events,1,8.835867
EPA3_local,10000events,2,8.752976
EPA3_local,10000events,3,8.736832
EPA3_local,10000events,4,8.724710
EPA4,EPA3_1event,1,0.043894
EPA4,EPA3_1event,2,0.044200
EPA4,EPA3_1event,3,0.044186
EPA4,EPA3_1event,4,0.043856
EPA4,EPA3_100events,1,0.146257
EPA4,EPA3_100events,2,0.137309
EPA4,EPA3_100events,3,0.138133
EPA4,EPA3_100events,4,0.140566
EPA4,EPA3_1000events,1,0.902651
EPA4,EPA3_1000events,2,0.903205
EPA4,EPA3_1000events,3,0.895739
EPA4,EPA3_1000events,4,0.900380
EPA4,EPA3_10000events,1,7.926264
EPA4,EPA3_10000events,2,7.940703
EPA4,EPA3_10000events,3,7.924888
EPA4,EPA3_10000events,4,7.937482
EPA5,1event,1,0.044707
EPA5,1event,2,0.044947
EPA5,1event,3,0.043694
EPA5,1event,4,0.044380
EPA5,100events,1,0.121411
EPA5,100events,2,0.122041
EPA5,100events,3,0.121369
EPA5,100events,4,0.122035
EPA5,1000events,1,0.742838
EPA5,1000events,2,0.745394
EPA5,1000events,3,0.746857
EPA5,1000events,4,0.814544
EPA5,10000events,1,6.725204
EPA5,10000events,2,6.718909
EPA5,10000events,3,6.718072
EPA5,10000events,4,6.719703
EPA6,1event,1,0.028913
EPA6,1event,2,0.025985
EPA6,1event,3,0.026651
EPA6,1event,4,0.025915
EPA6,100events,1,0.083994
EPA6,100events,2,0.088662
EPA6,100events,3,0.085095
EPA6,100events,4,0.084541
EPA6,1000events,1,0.536415
EPA6,1000events,2,0.545340
EPA6,1000events,3,0.536828
EPA6,1000events,4,0.532905
EPA6,10000events,1,4.893118
EPA6,10000events,2,4.889992
EPA6,10000events,3,4.889028
EPA6,10000events,4,4.884086
EPA7,EPA5_1event,1,0.051671
EPA7,EPA5_1event,2,0.053302
EPA7,EPA5_1event,3,0.050173
EPA7,EPA5_1event,4,0.051993
EPA7,EPA5_100events,1,0.146437
EPA7,EPA5_100events,2,0.144642
EPA7,EPA5_100events,3,0.148139
EPA7,EPA5_100events,4,0.148646
EPA7,EPA5_1000events,1,0.981239
EPA7,EPA5_1000events,2,0.976408
EPA7,EPA5_1000events,3,0.976902
EPA7,EPA5_1000events,4,0.975481
EPA7,EPA5_10000events,1,8.999156
EPA7,EPA5_10000events,2,9.032636
EPA7,EPA5_10000events,3,9.057699
EPA7,EPA5_10000events,4,9.003250
EPA8,1event,1,0.033655
EPA8,1event,2,0.030105
EPA8,1event,3,0.030235
EPA8,1event,4,0.030186
EPA8,100events,1,0.174816
EPA8,100events,2,0.173470
EPA8,100events,3,0.171738
EPA8,100events,4,0.169701
EPA8,1000events,1,1.501578
EPA8,1000events,2,1.500687
EPA8,1000events,3,1.488442
EPA8,1000events,4,1.487391
EPA8,10000events,1,12.577222
EPA8,10000events,2,12.565052
EPA8,10000events,3,12.621906
EPA8,10000events,4,12.509561
EPA-All,1event,1,0.037736
EPA-All,1event,2,0.040823
EPA-All,1event,3,0.037803
EPA-All,1event,4,0.037996
EPA-All,100events,1,0.686735
EPA-All,100events,2,0.687325
EPA-All,100events,3,0.679372
EPA-All,100events,4,0.688943
EPA-All,1000events,1,6.110149
EPA-All,1000events,2,6.142077
EPA-All,1000events,3,6.129293
EPA-All,1000events,4,6.158865
EPA-All,10000events,1,48.479916
EPA-All,10000events,2,48.119792
EPA-All,10000events,3,62.930744
EPA-All,10000events,4,55.964477
